id,product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty,wishlistCount,market_price,lenskart_price,offerName,subCollection,subCollectionId
207216,https://www.lenskart.com/john-jacobs-jj-e15470-c3-eyeglasses.html,Gold,Medium,134 mm,John Jacobs,JJ E15470,eyeframe,342,0.0,1100,0,5000,5000,JJEYE,Pro Titanium,26191.0
208138,https://www.lenskart.com/john-jacobs-jj-s15557-c2-sunglasses.html,Gold Purple,Wide,138 mm,John Jacobs,JJ S15557,sunglasses,1227,3.5,654,0,6000,6000,JJSUN,Coastline,26721.0
213261,https://www.lenskart.com/vincent-chase-vc-s16549-c2-sunglasses.html,Pink,Extra Narrow,126 mm,Vincent Chase Polarized,VC S16549,sunglasses,139,0.0,1081,0,2000,2000,VCSUN,Future Classics,27571.0
136329,https://www.lenskart.com/john-jacobs-jj-e12787-c1-eyeglasses.html,Black,Medium,135 mm,John Jacobs,JJ E12787,eyeframe,6744,4.5,258,3118,5000,5000,JJBOGO,Rich Acetate,26361.0
138324,https://www.lenskart.com/john-jacobs-jj-e13097-c2-eyeglasses.html,Maroon,Medium,135 mm,John Jacobs,JJ E13097,eyeframe,3966,4.3,567,951,5000,5000,JJBOGO,Supreme Steel,26271.0
144856,https://www.lenskart.com/john-jacobs-jj-e13579-full-rim-c2-eyeglasses.html,Black,Wide,141 mm,John Jacobs Online,JJ E13579,eyeframe,4390,5.0,929,492,3500,3500,JJBOGO,Supreme Steel,26271.0
146240,https://www.lenskart.com/john-jacobs-jj-e13726-full-rim-c1-eyeglasses.html,Silver,Wide,138 mm,John Jacobs Online,JJ E13726,eyeframe,3686,4.75,1280,1519,3500,3500,JJBOGO,Supreme Steel,26271.0
146469,https://www.lenskart.com/john-jacobs-jj-e13743-c2-eyeglasses.html,Transparent,Narrow,132 mm,John Jacobs Online,JJ E13743,eyeframe,5453,4.4,2119,1336,3500,3500,JJBOGO,Rich Acetate,26361.0
151328,https://www.lenskart.com/lenskart-readers-lr-e13700-c2-a-eyeglasses.html,Black,Medium,135 mm,Lenskart READERS,LR E13700,non_power_reading,2486,4.5,437,29,500,500,,,
152532,https://www.lenskart.com/hooper-hp-e10031m-c9-eyeglasses.html,Transparent,5-8 yrs,124 mm,Hooper online,HP E10031M,eyeframe,1483,5.0,108,0,1000,1000,HOOPEREYE,Poppin Hooper,26113.0
200758,https://www.lenskart.com/lenskart-air-la-e14871-c1-eyeglasses.html,Brown,Narrow,133 mm,Lenskart Air,LA E14871,eyeframe,2698,4.5,1015,0,2000,2000,VCEYE,Cutting Edge 2.0,27161.0
201446,https://www.lenskart.com/john-jacobs-jj-e13591-c5-eyeglasses.html,Black,Medium,137 mm,John Jacobs Online,JJ E13591,eyeframe,717,4.55,2695,0,5000,5000,JJEYE,Supreme Steel,26271.0
206650,https://www.lenskart.com/vincent-chase-vc-e15383-c2-eyeglasses.html,Maroon,Extra Narrow,127 mm,Vincent Chase Online,VC E15383,eyeframe,1096,4.5,154,0,1700,1700,VCEYE,Crystal clear,25014.0
206907,https://www.lenskart.com/vincent-chase-vc-s15429-c1-sunglasses.html,Yellow,Medium,140 mm,Vincent Chase Online,VC S15429,sunglasses,1795,0.0,132,0,1500,1500,VCSUN,SUMMER POP,26281.0
209054,https://www.lenskart.com/lenskart-hustlr-hp-d15011l-c9-eyeglasses.html,Blue Sky,Extra Narrow,125 mm,Lenskart Hustlr,HP D15011,non_power_reading,2281,0.0,52,0,1700,1700,HOOPERKIDSCE,Lenskart Hustlr,26161.0
210024,https://www.lenskart.com/lenskart-air-la-e15874-c2-eyeglasses.html,Grey,Wide,138 mm,Lenskart Air,LA E15874,eyeframe,2760,0.0,8,0,1700,1700,VCEYE,TR Essentials,26981.0
211905,https://www.lenskart.com/lenskart-blu-lb-e16221-c2-eyeglasses.html,Transparent,Medium,137 mm,Lenskart Blu,LB E16221,non_power_reading,224,0.0,1232,0,2000,2000,LKBLUCE,,
212368,https://www.lenskart.com/john-jacobs-jj-s16362-c1-sunglasses.html,Blue,Extra Wide,145 mm,John Jacobs,JJ S16362,sunglasses,122,0.0,87,0,7000,7000,JJSUN,JJ X Masaba,27371.0
212905,https://www.lenskart.com/vincent-chase-vc-s16466-c4-sunglasses.html,Gold,Medium,139 mm,Vincent Chase Polarized,VC S16466,sunglasses,117,0.0,841,0,2000,2000,VCSUN,WEDDING EDIT,27511.0
140639,https://www.lenskart.com/john-jacobs-jj-e13315-c2-eyeglasses.html,Black,Narrow,133 mm,John Jacobs,JJ E13315,eyeframe,5052,3.4,156,1296,3500,3500,JJBOGO,Rich Acetate,26361.0
206488,https://www.lenskart.com/lenskart-boost-lkb-s15361-c2-sunglasses.html,Grey,Extra Wide,151 mm,Lenskart Boost,LKB S15361,sunglasses,1895,0.0,45,0,2000,2000,,BOOST,26571.0
206655,https://www.lenskart.com/vincent-chase-vc-e15385-c1-eyeglasses.html,Green,Extra Narrow,129 mm,Vincent Chase Online,VC E15385,eyeframe,3227,0.0,3,0,1700,1700,VCEYE,Crystal clear,25014.0
206801,https://www.lenskart.com/john-jacobs-jj-e13594-c6-eyeglasses.html,Black,Medium,137 mm,John Jacobs,JJ E13594,eyeframe,429,4.65,1295,0,3500,3500,JJEYE,Supreme Steel,26271.0
209732,https://www.lenskart.com/vincent-chase-vc-e15839-c2-eyeglasses.html,Blue,Extra Narrow,128 mm,Vincent Chase,VC E15839,eyeframe,414,0.0,1761,0,3000,3000,VCEYE,Rimless Edit,27022.0
212611,https://www.lenskart.com/vincent-chase-vc-s16413-c1-sunglasses.html,Transparent,Extra Wide,147 mm,Vincent Chase Polarized,VC S16413,sunglasses,525,0.0,497,0,1500,1500,VCSUN,CWC PRINTED,27201.0
213493,https://www.lenskart.com/john-jacobs-jj-e15781-c2-dup-eyeglasses.html,Green,Extra Wide,142 mm,John Jacobs,JJ E15781,eyeframe,873,0.0,58,0,5000,5000,,JJ X Masaba,27371.0
214478,https://www.lenskart.com/vincent-chase-vc-e11560-c10-eyeglasses.html,Black,Narrow,132 mm,Vincent Chase,VC E11560,eyeframe,104,0.0,2690,0,1700,1700,VCEYE,SLEEK STEEL,25036.0
138824,https://www.lenskart.com/pink-transparent-pink-full-rim-round-john-jacobs-feather-flex-jj-e13183-c2-eyeglasses.html,Pink,Wide,138 mm,John Jacobs Online,JJ E13183,eyeframe,2519,4.65,510,1623,3500,3500,JJBOGO,Feather Flex,26639.0
143700,https://www.lenskart.com/john-jacobs-jj-e13494-c6-eyeglasses.html,Grey,Narrow,132 mm,John Jacobs,JJ E13494,eyeframe,3052,4.7,1314,807,5000,5000,JJBOGO,Supreme Steel,26271.0
148965,https://www.lenskart.com/vincent-chase-vc-s14088-c1-c1-sunglasses.html,Transparent,Wide,142 mm,Vincent Chase,VC S14088,sunglasses,7162,4.75,1366,1721,2000,2000,VCSUN,Urban retro,25018.0
152540,https://www.lenskart.com/hooper-hp-e10034m-c8-eyeglasses.html,Black,5-8 yrs,124 mm,Hooper online,HP E10034M,eyeframe,2543,0.0,106,0,1000,1000,HOOPEREYE,Poppin Hooper,26113.0
201405,https://www.lenskart.com/john-jacobs-jj-e12714-c8-eyeglasses.html,Gold,Wide,141 mm,John Jacobs Online,JJ E12714,eyeframe,598,0.0,1292,0,5000,5000,JJEYE,Pro Titanium,26191.0
211591,https://www.lenskart.com/hooper-hp-e15910m-c3-eyeglasses.html,Black,5-8 yrs,121 mm,Hooper,HP E15910M,eyeframe,315,0.0,852,0,1000,1000,HOOPEREYE,BLUE BILLION,26601.0
138337,https://www.lenskart.com/john-jacobs-jj-e13102-c1-eyeglasses.html,Black,Medium,136 mm,John Jacobs Online,JJ E13102,eyeframe,5850,4.5,814,2407,3500,3500,JJBOGO,Supreme Steel,26271.0
148297,https://www.lenskart.com/john-jacobs-jj-e14007xs-c1-eyeglasses.html,Transparent,Extra Narrow,125 mm,John Jacobs,JJ E14007XS,eyeframe,3537,5.0,296,81,3500,3500,JJBOGO,Rich Acetate,26361.0
149208,https://www.lenskart.com/john-jacobs-jj-e14146-c2-c2-eyeglasses.html,Black,Wide,139 mm,John Jacobs,JJ E14146,eyeframe,3783,5.0,549,269,5000,5000,JJBOGO,Supreme Steel,26271.0
149973,https://www.lenskart.com/hooper-hp-e10088-c3-eyeglasses.html,Grey,5-8 yrs,121 mm,Hooper online,HP E10088,eyeframe,3455,5.0,96,37,1000,1000,HOOPEREYE,Astra Hooper,26111.0
