product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty
https://www.lenskart.com/vincent-chase-vc-e13496-c9-eyeglasses.html,Black,Extra Wide,142 mm,Vincent Chase,VC E13496,eyeframe,2136,0.0,62
https://www.lenskart.com/lenskart-air-la-e16170-c1-eyeglasses.html,Black,Extra Wide,142 mm,Lenskart Air,LA E16170,eyeframe,2020,0.0,116
https://www.lenskart.com/vincent-chase-vc-e16652-c1-eyeglasses.html,Black,Medium,135 mm,Vincent Chase,VC E16652,eyeframe,455,0.0,1732
https://www.lenskart.com/vincent-chase-vc-s16660-c2-sunglasses.html,Grey,Medium,139 mm,Vincent Chase Polarized,VC S16660,sunglasses,482,0.0,737
https://www.lenskart.com/john-jacobs-jj-e-16451-c2-eyeglasses.html,Gold,Wide,140 mm,John Jacobs,JJ E16451,eyeframe,881,0.0,127
https://www.lenskart.com/aquacolor-premium-emerald-contact-lenses-2-lens-box.html,,,,Aquacolor Premium,Aquacolor Premium Emerald Zero Power Monthly,contact_lens,11476,4.75,49988
https://www.lenskart.com/john-jacobs-jj-e13595-c3-eyeglasses.html,Gold,Medium,137 mm,John Jacobs,JJ E13595,eyeframe,2481,4.8,1682
https://www.lenskart.com/vincent-chase-vc-e13393-m-c1-eyeglasses.html,Gold,Medium,136 mm,Vincent Chase,VC E13393-M,eyeframe,2415,0.0,765
https://www.lenskart.com/vincent-chase-vc-e13814-c1-eyeglasses.html,Black,Medium,137 mm,Vincent Chase,VC E13814,eyeframe,13789,4.8,4213
https://www.lenskart.com/aquacolor-premium-turquoise-contact-lenses-2-lens-box.html,,,,Aquacolor Premium,Aquacolor Premium Tricky Turquoise Zero Power Monthly,contact_lens,12443,4.75,49988
https://www.lenskart.com/john-jacobs-jj-e16147-c2-eyeglasses.html,Black,Wide,141 mm,John Jacobs,JJ E16147,eyeframe,1620,0.0,1449
https://www.lenskart.com/hooper-hp-e15012m-c4-eyeglasses.html,Blue,5-8 yrs,123 mm,Hooper,HP E15012M,eyeframe,2534,0.0,2253
https://www.lenskart.com/vincent-chase-vc-e15505-c3-eyeglasses.html,Black,Medium,135 mm,Vincent Chase,VC E15505,eyeframe,2009,0.0,640
https://www.lenskart.com/john-jacobs-jj-e16112-c2-eyeglasses.html,Tortoise,Narrow,130 mm,John Jacobs,JJ E16112,eyeframe,1372,5.0,717
https://www.lenskart.com/vincent-chase-vc-s15763-c2-sunglasses.html,Black,Wide,141 mm,Vincent Chase Polarized,VC S15763,sunglasses,2281,0.0,128
https://www.lenskart.com/vincent-chase-vc-e16653-c1-eyeglasses.html,Plum,Narrow,132 mm,Vincent Chase,VC E16653,eyeframe,425,0.0,1477
https://www.lenskart.com/hooper-hp-e16080-c1-eyeglasses.html,Blue,5-8 yrs,124 mm,Hooper,HP E16080,eyeframe,596,0.0,1242
https://www.lenskart.com/lenskart-air-la-e15323-c1-eyeglasses.html,Purple,Medium,134 mm,Lenskart Air,LA E15323,eyeframe,4968,3.0,1768
https://www.lenskart.com/lenskart-air-la-e13068-c7-eyeglasses.html,Blue,Medium,135 mm,Lenskart Air,LA E13068,eyeframe,2266,5.0,9
https://www.lenskart.com/john-jacobs-jj-s15904-c1-sunglasses.html,Brown,Extra Wide,151 mm,John Jacobs,JJ S15904,sunglasses,895,0.0,157
https://www.lenskart.com/vincent-chase-vc-s16662-c3-sunglasses.html,Brown,Wide,142 mm,Vincent Chase Polarized,VC S16662,sunglasses,513,0.0,979
https://www.lenskart.com/john-jacobs-jj-e13491-c2-eyeglasses.html,Transparent,Medium,134 mm,John Jacobs,JJ E13491,eyeframe,12935,4.8,916
https://www.lenskart.com/john-jacobs-jj-e13746-c1-eyeglasses.html,Pink,Wide,140 mm,John Jacobs,JJ E13746,eyeframe,7421,5.0,89
https://www.lenskart.com/vincent-chase-vc-e15989-c1-eyeglasses.html,Black,Wide,139 mm,Vincent Chase,VC E15989,eyeframe,1581,0.0,28
https://www.lenskart.com/black-full-rim-rectangle-thinoptics-go-reader-glasses-with-case-reading-eyeglasses-only-for-1-00-power.html,Black,Wide,139 mm,ThinOptics,Go-Reader Glasses With Case,non_power_reading,28369,4.2,1814
